,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
50,decentraland,51,MANA,Decentraland,1893095370.6427295000000000,,578681214.5387396207655090,23439257.8609113981786294,0.3056799057842871,2.2567815061863839,0.2999903693298523,https://etherscan.io/token/decentraland
51,xinfin-network,52,XDC,XinFin Network,12293293518.5500000000000000,,576421008.4788860079539691,1439760.2346685341647805,0.0468890625290199,-2.0581631076741697,0.0460319587133221,https://etherscan.io/token/0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2
52,ecash,53,XEC,eCash,19529742173093.0000000000000000,21000000000000.0000000000000000,537589544.2656766059317291,3527832.9566128877391055,0.0000275267097487,0.4421644077161833,0.0000268785698179,https://explorer.bitcoinabc.org/
53,neo,54,NEO,Neo,70538831.0000000000000000,100000000.0000000000000000,531751251.3022405437472049,14261794.6148645207858059,7.5384188221412479,6.9683462118449382,7.1869923060398106,https://neotracker.io
54,kava,55,KAVA,Kava,856209158.0000000000000000,,514232183.0762333362439728,7143673.9377140513623182,0.6005917809585416,1.4117460398889199,0.5917107594062675,https://www.mintscan.io/kava
55,synthetix-network-token,56,SNX,Synthetix,233716733.4900000000000000,212424133.0000000000000000,500093506.6988545727826626,12332740.7845703807715580,2.1397419826606125,3.4515402154482378,2.1078447284428469,https://etherscan.io/token/0xc011a72400e58ecd99ee497cf89e3775d4bd732f
56,paxos-standard,57,USDP,Pax Dollar,486062948.6506834000000000,,485967990.6342449525174963,132503.8216583123682935,0.9998046384389058,-0.0986926888747884,,https://etherscan.io/token/0x8e870d67f660d95d5be530380d0ec0bd388289e1
57,flow,58,FLOW,Flow,1036200000.0000000000000000,,476784591.6208126903800000,12775986.4584708305258416,0.4601279594873699,0.6773873631640205,0.4521511785188576,https://flowscan.org/
58,chiliz,59,CHZ,Chiliz,7492079838.8224830000000000,8888888888.0000000000000000,469843689.6302981769111427,31970635.7809905470651279,0.0627120505571311,3.7859796844389069,0.0617685677626785,https://etherscan.io/token/0x3506424f91fd33084466f402d5d97f05f8e3b4af
59,kucoin-token,60,KCS,KuCoin Token,96732986.3190287500000000,170118638.0000000000000000,444108640.9177222952210020,412015.7512976255036059,4.5910775405303478,0.9966885331353673,4.5533046136264446,https://etherscan.io/token/0xf34960d9d60be18cc1d5afc1a6f012a723a28811
60,trust-wallet-token,61,TWT,Trust Wallet Token,416649900.0000000000000000,1000000000.0000000000000000,429956816.4951115022799300,2627322.6258066445383572,1.0319378847687507,0.0291045509081563,1.0310079283189558,https://explorer.binance.org/asset/TWT-8C2
61,zcash,62,ZEC,Zcash,16328268.7500000000000000,21000000.0000000000000000,426669122.4739880756822606,4989840.9596960220450881,26.1307018525150179,-5.2788253629215089,25.6222821953932206,https://explorer.zcha.in/
